Name,Year,Sex,Sport,NOC,Medal
Heikki Ilmari Savolainen,1932,M,Gymnastics,FIN,4
Alajos Keser,1932,M,Water Polo,HUN,1
Franco Riccardi,1932,M,Fencing,ITA,1
Fritz Albert Erich Rademacher,1932,M,Water Polo,GER,1
Herbert Buhtz,1932,M,Rowing,GER,1
Leszek Wadysaw Lubicz-Nycz,1932,M,Fencing,POL,1
Guglielmo Segato,1932,M,Cycling,ITA,2
Hiroshi Nagata,1932,M,Hockey,JPN,1
Karel Johan Schummelketel,1932,M,Equestrianism,NED,1
Mario Paolo Pedretti,1932,M,Cycling,ITA,1
Jadwiga Wajs-Marcinkiewicz (-Grtkiewicz),1932,F,Athletics,POL,1
Merrill Rowland Wolfe,1932,M,Gymnastics,USA,1
Katsumi Shibata,1932,M,Hockey,JPN,1
Mary Louise Carew (-Armstrong),1932,F,Athletics,USA,1
Josef Straberger,1932,M,Weightlifting,GER,1
Guglielmo Del Bimbo,1932,M,Rowing,ITA,1
Mario Lertora,1932,M,Gymnastics,ITA,2
Mario Gruppioni,1932,M,Wrestling,ITA,1
Richard Clarke Steere,1932,M,Fencing,USA,1
"Charles Edward ""Ned"" Pratt",1932,M,Rowing,CAN,1
Nikolaus Hirschl,1932,M,Wrestling,AUT,2
Savino Guglielmetti,1932,M,Gymnastics,ITA,2
Charles Chandler,1932,M,Rowing,USA,1
Kroly Krpti (Kellner-),1932,M,Wrestling,HUN,1
"Jacobus Johannes ""Jacques"" van Egmond",1932,M,Cycling,NED,2
Jaroslav Skobla,1932,M,Weightlifting,TCH,1
William Evans Garrett Gilmore,1932,M,Rowing,USA,1
Hans Schulze,1932,M,Water Polo,GER,1
"Heather Seymour ""Judy"" Guinness Penn-Hughes (-Henning)",1932,F,Fencing,GBR,1
Louis Chaillot,1932,M,Cycling,FRA,2
"Harold Alfred ""Harry"" Jones",1932,M,Sailing,CAN,1
Sayed Muhammad Jaffar,1932,M,Hockey,IND,1
Mahonri Mackintosh Young,1932,M,Art Competitions,USA,1
Mauri Kalervo Nyberg-Noroma,1932,M,Gymnastics,FIN,1
Francesco Cossu,1932,M,Rowing,ITA,1
Veikko Ilmari Pakarinen,1932,M,Gymnastics,FIN,1
Gunnar Anton Edvard Asther,1932,M,Sailing,SWE,1
Flix Pierre Victor Bailly,1932,M,Art Competitions,FRA,1
"Edgar ""Ed"" Nemir",1932,M,Wrestling,USA,1
"Edgar Allen ""Ed"" Ablowich",1932,M,Athletics,USA,1
Arturo De Vecchi,1932,M,Fencing,ITA,1
Volmari Fritijof Iso-Hollo (Hollo-),1932,M,Athletics,FIN,2
Alan C. Morgan,1932,M,Sailing,USA,1
Philip Tingley Rogers,1932,M,Sailing,CAN,1
Earl Hamilton Richard Eastwood,1932,M,Rowing,CAN,1
Leonard Francis O'Brien,1932,M,Hockey,USA,1
"George J. Saling, Jr.",1932,M,Athletics,USA,1
Peter Oscar Jrgensen,1932,M,Boxing,DEN,1
"Philip Richard ""Phil"" Erenberg",1932,M,Gymnastics,USA,1
"William John ""Bill"" Hermann",1932,M,Gymnastics,USA,1
"Cyril Alec ""Bob"" Stiles",1932,M,Rowing,NZL,1
Charles Alfred Holland,1932,M,Cycling,GBR,1
Earl Foster Thomson,1932,M,Equestrianism,USA,2
Curtis Charles Shears,1932,M,Fencing,USA,1
Tatsugo Kawaishi,1932,M,Swimming,JPN,1
Thomas Karl Elof Bystrm,1932,M,Equestrianism,SWE,1
"Louis ""Lou"" Salica",1932,M,Boxing,USA,1
Alvin Hovy Moore,1932,M,Equestrianism,USA,1
Albert L. Schwartz,1932,M,Swimming,USA,1
"Robert Morton Newburgh ""Bob"" Tisdall",1932,M,Athletics,IRL,1
Maiola Kalili,1932,M,Swimming,USA,1
"Hector Monroe ""Hec"" Dyer",1932,M,Athletics,USA,1
Richard Walden Mayo,1932,M,Modern Pentathlon,USA,1
"Gerald ""Jerry"" Wilson",1932,M,Sailing,CAN,1
Joachim Karsch,1932,M,Art Competitions,GER,1
"Richard Kempster ""Dick"" Degener",1932,M,Diving,USA,1
Shozo Makino,1932,M,Swimming,JPN,1
Tadeusz Friedrich,1932,M,Fencing,POL,1
Duncan Anderson McNaughton,1932,M,Athletics,CAN,1
"Robert Mandel ""Bob"" Sutton",1932,M,Sailing,USA,1
Pierre Andr Brunet,1932,M,Rowing,FRA,1
"Herbert Henry ""Herb"" Wildman",1932,M,Water Polo,USA,1
Georgia V. Coleman (-Gilson),1932,F,Diving,USA,2
"Othilie ""Tilly"" Fleischer (-Heuser, -Grote)",1932,F,Athletics,GER,1
Guillermo Rafael Douglas Sabattini,1932,M,Rowing,URU,1
Carl Oscar Westergren,1932,M,Wrestling,SWE,1
Wadysaw Hipolit Segda,1932,M,Fencing,POL,1
Hisakichi Toyoda (-Minejima),1932,M,Swimming,JPN,1
Crew Hadlett Stoneley,1932,M,Athletics,GBR,1
"Richard John ""Dickie"" Carr",1932,M,Hockey,IND,1
Ruggero Maregatti,1932,M,Athletics,ITA,1
Francis Pierpont Davis,1932,M,Sailing,USA,1
Jnis Dli,1932,M,Athletics,LAT,1
Richard James Allen,1932,M,Hockey,IND,1
Louis Hostin,1932,M,Weightlifting,FRA,1
Wadysaw Dobrowolski,1932,M,Fencing,POL,1
Josef (Jaroslav) Suk,1932,M,Art Competitions,TCH,1
Joachim Rademacher,1932,M,Water Polo,GER,1
Joachim Spremberg,1932,M,Rowing,GER,1
"Edgar Laurence ""Dunc"" Gray",1932,M,Cycling,AUS,1
Miguel Angel de Capriles,1932,M,Fencing,USA,1
"Anthony ""Tony"" Terlazzo",1932,M,Weightlifting,USA,1
Dallas Denver Bixler,1932,M,Gymnastics,USA,1
Jnos (James) Nmeth,1932,M,Water Polo,HUN,1
Austin Rhone Clapp,1932,M,Water Polo,USA,1
Duncan Smith Gregg,1932,M,Rowing,USA,1
Edgardo Toetti,1932,M,Athletics,ITA,1
Oreste Capuzzo,1932,M,Gymnastics,ITA,1
Hugh Vincenzo Alessandroni,1932,M,Fencing,USA,1
Charles Bnoni Louis Pacme,1932,M,Wrestling,FRA,1
Richard Konwiarz,1932,M,Art Competitions,GER,1
ke Carl Magnus Bergqvist,1932,M,Sailing,SWE,1
"Georg Eduard ""Ede"" Sperling",1932,M,Wrestling,GER,1
Mrton Homonnai (Hlavacsek-),1932,M,Water Polo,HUN,1
"Samuel Evans ""Sam"" Ewing, Jr.",1932,M,Hockey,USA,1
Tracy Jaeckel,1932,M,Fencing,USA,1
Jack Beresford,1932,M,Rowing,GBR,1
Frank Otto Haubold,1932,M,Gymnastics,USA,2
Rudolf Ismayr,1932,M,Weightlifting,GER,1
"Edward Loring ""Eddie"" Flynn",1932,M,Boxing,USA,1
Horst Hoeck,1932,M,Rowing,GER,1
George Charles Calnan,1932,M,Fencing,USA,2
Charles Harold McCallister,1932,M,Water Polo,USA,1
Arthur Charles Hind,1932,M,Hockey,IND,1
"David Coombs ""Dave"" Dunlap",1932,M,Rowing,USA,1
"Frank Stahl Righeimer, Jr.",1932,M,Fencing,USA,2
Yasuji Miyazaki,1932,M,Swimming,JPN,2
Violet Blanche Webb (-Simpson),1932,F,Athletics,GBR,1
Dorothy Poynton-Hill (-Teuber),1932,F,Diving,USA,1
"Philip Burton ""Phil"" Daubenspeck",1932,M,Water Polo,USA,1
Paul Chocque,1932,M,Cycling,FRA,1
Annette Joan Rogers (-Kelly),1932,F,Athletics,USA,1
Alberto Ghilardi,1932,M,Cycling,ITA,1
Ernst Gaber,1932,M,Rowing,GER,1
"Edward Lansing ""Ed"" Gordon, Jr.",1932,M,Athletics,USA,1
John Hughes,1932,M,Art Competitions,GBR,1
Edward Kobyliski Prus,1932,M,Rowing,POL,1
Ugo Frigerio,1932,M,Athletics,ITA,1
"Edward Francis ""Ed"" Jennings",1932,M,Rowing,USA,1
Andrs Szkely,1932,M,Swimming,HUN,1
"F. Calvert ""Cal"" Strong",1932,M,Water Polo,USA,1
"David ""Dave"" McMullin, III",1932,M,Hockey,USA,1
Edward Gardre,1932,M,Fencing,FRA,1
Godfrey Lionel Rampling,1932,M,Athletics,GBR,1
Tsutomi Oyokota,1932,M,Swimming,JPN,1
Harlow Phelps Rothert,1932,M,Athletics,USA,1
Carlo Agostoni Faini,1932,M,Fencing,ITA,2
Ralph Anthony Hill,1932,M,Athletics,USA,1
"Samuel ""Sam"" Ferris",1932,M,Athletics,GBR,1
Gastone Pierini,1932,M,Weightlifting,ITA,1
Kenkichi Oshima,1932,M,Athletics,JPN,1
Johan Gabriel Oxenstierna af Korsholm och Wasa,1932,M,Modern Pentathlon,SWE,1
Gustave Marinius Heiss,1932,M,Fencing,USA,1
Adam Stanisaw Pape,1932,M,Fencing,POL,1
David August Wallin,1932,M,Art Competitions,SWE,1
Tore Anton Holm,1932,M,Sailing,SWE,1
Roop Singh Bais,1932,M,Hockey,IND,1
Ugo Pignotti,1932,M,Fencing,ITA,2
"dn Zombori (Zanich, Janicsek)",1932,M,Wrestling,HUN,1
Masude Ali Khan Minhas,1932,M,Hockey,IND,1
Erna Bogen-Bogti (-Gerevich),1932,F,Fencing,HUN,1
Ern Nagy,1932,M,Fencing,HUN,1
Helmut Krnig,1932,M,Athletics,GER,1
John R. Huettner,1932,M,Sailing,USA,1
Ellen Braumller (-Hassauer),1932,F,Athletics,GER,1
Jean Baptiste Marie Gustave Saack,1932,M,Art Competitions,FRA,1
"George Leslie ""Les"" MacDonald",1932,M,Rowing,CAN,1
Henryk Budziski,1932,M,Rowing,POL,1
"Marcello Nizzola, Sr.",1932,M,Wrestling,ITA,1
Jean Charles mile Taris,1932,M,Swimming,FRA,1
Nino Borsari,1932,M,Cycling,ITA,1
Edwin Harold Smith,1932,M,Diving,USA,2
Renzo Minoli,1932,M,Fencing,ITA,1
"Robert Allan ""Bob"" Kiesel",1932,M,Athletics,USA,1
"Wilhelmina Catherine ""Billie"" von Bremen (-Asch)",1932,F,Athletics,USA,2
Gyrgy Piller (Jekelfalussy-),1932,M,Fencing,HUN,2
Ralph Harold Metcalfe,1932,M,Athletics,USA,2
"Ernest ""Eddie"" Peirce",1932,M,Boxing,RSA,1
"David Krynauw Enslin ""Dave"" Carstens",1932,M,Boxing,RSA,1
Ernest Alfred Johnson,1932,M,Cycling,GBR,1
"Friedrich Walter ""Fritz"" Hendrix",1932,M,Athletics,GER,1
Onni Wilhelm Pellinen,1932,M,Wrestling,FIN,1
"Laurence A. ""Larry"" Knapp",1932,M,Hockey,USA,1
"Thomas Edward ""Eddie"" Tolan, Jr.",1932,M,Athletics,USA,2
Sndor Ivdy,1932,M,Water Polo,HUN,1
"Michael Riley ""Mickey"" Galitzen",1932,M,Diving,USA,2
David George Brownlow Cecil Burghley,1932,M,Athletics,GBR,1
Elizabeth Valerie Davies (-Latham),1932,F,Swimming,GBR,2
Giancarlo Cornaggia-Medici Peterbelli,1932,M,Fencing,ITA,2
Jzef Klukowski,1932,M,Art Competitions,POL,1
Wolfgang Ehrl,1932,M,Wrestling,GER,1
Antonio Provenzani Garzoni,1932,M,Rowing,ITA,1
Isaac Leonard Kitts,1932,M,Equestrianism,USA,1
Ernest Henry Chambers,1932,M,Cycling,GBR,1
Jean (Jnos) Fldeak,1932,M,Wrestling,GER,1
"Ernest Frank ""Jack"" Cribb",1932,M,Sailing,CAN,1
Hilda Gwendolyn Strike (-Sisson),1932,F,Athletics,CAN,2
"Philip Aron ""Phil"" Edwards",1932,M,Athletics,CAN,3
Bo Sigfrid Gabriel Lindman,1932,M,Modern Pentathlon,SWE,1
"Edward Richard ""Eddie"" Scarf",1932,M,Wrestling,AUS,1
Peter Dawson Gordon,1932,M,Sailing,CAN,1
Axel Vilhelm Teodor Cadier,1932,M,Wrestling,SWE,1
Eva Dawes (-Spinks),1932,F,Athletics,CAN,1
Frank Clifford Wykoff,1932,M,Athletics,USA,1
Bernhard Rudolf Britz,1932,M,Cycling,SWE,2
Juan Carlos Zabala Boyer,1932,M,Athletics,ARG,1
"William Hunting ""Bill"" Cooper",1932,M,Sailing,USA,1
Kenneth Anton Carey,1932,M,Sailing,USA,1
Sadayoshi Kobayashi,1932,M,Hockey,JPN,1
Hans Haas,1932,M,Weightlifting,AUT,1
"Alexander Sheldon ""Alex"" Wilson",1932,M,Athletics,CAN,3
Amde Fournier,1932,M,Cycling,FRA,1
Charles Ferdinand Pahud de Mortanges,1932,M,Equestrianism,NED,2
Frank Ewen Booth,1932,M,Swimming,USA,1
Hiram Edwin Tuttle,1932,M,Equestrianism,USA,2
Haruhiko Kon,1932,M,Hockey,JPN,1
Ruth Blanchard Miller (-Fracker),1932,F,Art Competitions,USA,1
Wolrad Eberle,1932,M,Athletics,GER,1
Hugh Robert Arthur Edwards,1932,M,Rowing,GBR,2
Helen Gradwell Varcoe (-Nicholls),1932,F,Swimming,GBR,1
Helen Eileen Johns (-Carroll),1932,F,Swimming,USA,1
Jzsef Vrtesy (Vrbel-),1932,M,Water Polo,HUN,1
Evelyn Pearl Furtsch (-Ojeda),1932,F,Athletics,USA,1
"Kenneth ""Ken"" Myers",1932,M,Rowing,USA,1
"James Allan ""Jimmy"" Ball",1932,M,Athletics,CAN,1
"Horace ""Lefty"" Gwynne",1932,M,Boxing,CAN,1
"James Aloysius Bernard ""Jim"" Bausch",1932,M,Athletics,USA,1
"William Jackson ""Jack"" Galbraith",1932,M,Gymnastics,USA,1
Lszl Szabados,1932,M,Swimming,HUN,1
"Evelyne Ruth Hall (Davidson-, -Adams, -Butler)",1932,F,Athletics,USA,1
Dino Barsotti,1932,M,Rowing,ITA,1
Maurice Perrin,1932,M,Cycling,FRA,1
Jzsef Tunyogi,1932,M,Wrestling,HUN,1
Mary Frizzell (-Thomasson),1932,F,Athletics,CAN,1
Riccardo Divora,1932,M,Rowing,ITA,1
Percy Morris Beard,1932,M,Athletics,USA,1
Rowland David George,1932,M,Rowing,GBR,1
Roberto Vestrini,1932,M,Rowing,ITA,1
Andrs Wani,1932,M,Swimming,HUN,1
"John Horn ""Jack"" Riley",1932,M,Wrestling,USA,1
Janusz Lubomir lzak,1932,M,Rowing,POL,2
Shunkichi Hamada,1932,M,Hockey,JPN,1
Gyula Glykais,1932,M,Fencing,HUN,1
Stanisaw Urban,1932,M,Rowing,POL,1
Simeon Galvez Toribio,1932,M,Athletics,PHI,1
"Cornelia ""Corrie"" Ladd (-Voogd, -Bakhuizen)",1932,F,Swimming,NED,1
Attila Petschauer,1932,M,Fencing,HUN,1
Frank Joseph Cumiskey,1932,M,Gymnastics,USA,1
Jerzy Walerian Skolimowski,1932,M,Rowing,POL,2
Jerzy Walerian Braun,1932,M,Rowing,POL,2
"James Crapo ""Jim"" Cristy, Jr.",1932,M,Swimming,USA,1
Frode Otto Srensen,1932,M,Cycling,DEN,1
"James Cuthbert ""Jimmy"" Gentle",1932,M,Hockey,USA,1
Hans Ziglarski,1932,M,Boxing,GER,1
Frank Allen Kurtz,1932,M,Diving,USA,1
Lewis Clive,1932,M,Rowing,GBR,1
Svend Egil Benjamin Olsen,1932,M,Weightlifting,DEN,1
Lal Shah S. Bokhari,1932,M,Hockey,IND,1
Horace Cumberland Disston,1932,M,Hockey,USA,1
Leslie Charles Hammond,1932,M,Hockey,IND,1
George Julius Gulack,1932,M,Gymnastics,USA,1
Frank Gerald Singlehurst Brewin,1932,M,Hockey,IND,1
Kuzuo Kitamura,1932,M,Swimming,JPN,1
Mikls Srkny,1932,M,Water Polo,HUN,1
Helene Emma Madison,1932,F,Swimming,USA,3
"John Hobart Warren Ingersoll, III",1932,M,Hockey,USA,1
Janina Konarska-Sonimska (Seideman-),1932,F,Art Competitions,POL,1
Gurmit Singh Kullar,1932,M,Hockey,IND,1
Plinio Anslme Brusa,1932,M,Rowing,FRA,1
Johan Cornelius Richthoff,1932,M,Wrestling,SWE,1
"Thomas ""Tommy"" Hampson",1932,M,Athletics,GBR,2
"Gustaf Adolf Boltenstern, Jr.",1932,M,Equestrianism,SWE,1
"Augustus Frederick ""Fred"" Wolters",1932,M,Hockey,USA,1
Hermann Albert Stork,1936,M,Diving,GER,1
Olga Trs (-Szemerey),1936,F,Gymnastics,HUN,1
Ali Iqtidar Shah Dara,1936,M,Hockey,IND,1
Hans Kuschke,1936,M,Rowing,GER,1
"George G. ""Jackie"" Wilson",1936,M,Boxing,USA,1
Henry Hgfeldt Johansen,1936,M,Football,NOR,1
Jan Parandowski,1936,M,Art Competitions,POL,1
Hugo Strau,1936,M,Rowing,GER,1
"Leopold ""Poldl"" Wohlrab",1936,M,Handball,AUT,1
Hans Howaldt,1936,M,Sailing,GER,1
"Gustav Adolf ""Gsta"" Almgren",1936,M,Fencing,SWE,1
Sueo Oe,1936,M,Athletics,JPN,1
Fritz Messner,1936,M,Hockey,GER,1
Gustav Schfer,1936,M,Rowing,GER,1
"Hermann ""Hannes"" Hansen",1936,M,Handball,GER,1
Gottlieb Weber,1936,M,Cycling,SUI,1
Elio Ragni,1936,M,Athletics,ITA,1
Fritz Schfer,1936,M,Wrestling,GER,1
Fritz Spengler,1936,M,Handball,GER,1
Elfriede Kaun (-Rahn),1936,F,Athletics,GER,1
Jan de Looper,1936,M,Hockey,NED,1
Fritz Stolze,1936,M,Water Polo,GER,1
Forrest Grady Towns,1936,M,Athletics,USA,1
Elbert Alonzo Root,1936,M,Diving,USA,1
Magnus Andreas Thulstrup Clasen Konow,1936,M,Sailing,NOR,1
"Eduard ""Edi"" Kainberger",1936,M,Football,AUT,1
"Alan ""Al"" Greene",1936,M,Diving,USA,1
"Eduard ""Edi"" Steinemann",1936,M,Gymnastics,SUI,1
"Eduard ""Edy"" Schmid",1936,M,Handball,SUI,1
Magnar Nikolai Isaksen,1936,M,Football,NOR,1
Eduard Mohr,1936,M,Sailing,GER,1
Gurcharan Singh Grewal,1936,M,Hockey,IND,1
"Leslie Frank ""Dick"" Southwood",1936,M,Rowing,GBR,1
Odd Bernhard Frantzen,1936,M,Football,NOR,1
Paul Wevers,1936,M,Canoeing,GER,1
"Irving ""Toots"" Meretsky",1936,M,Basketball,CAN,1
"Alfred ""Fredy"" Gerdes",1936,M,Hockey,GER,1
Herbert Adamski,1936,M,Rowing,GER,1
Edvns Bietags,1936,M,Wrestling,LAT,1
Andr Gardre,1936,M,Fencing,FRA,1
"Magdalena Maria ""Leni"" Lohmar (-Henze)",1936,F,Swimming,GER,1
Gsta Valdemar Jnsson-Frndfors,1936,M,Wrestling,SWE,1
Pl dm Kovcs,1936,M,Fencing,HUN,1
Vincenzo Pinton,1936,M,Fencing,ITA,1
Ulderico Sergo,1936,M,Boxing,ITA,1
Guglielmo Del Bimbo,1936,M,Rowing,ITA,1
Hans Theilig,1936,M,Handball,GER,1
Edoardo Mangiarotti,1936,M,Fencing,ITA,1
Herbert Erich Kemmer,1936,M,Hockey,GER,1
"Herbert Roger ""Herb"" Morris",1936,M,Rowing,USA,1
Earle Elmer Meadows,1936,M,Athletics,USA,1
Jaroslava Bajerov,1936,F,Gymnastics,TCH,1
Hans Scherbart,1936,M,Hockey,GER,1
Jaroslav Volak,1936,M,Handball,AUT,1
Herbert Schmidt,1936,M,Rowing,GER,1
Hans Schulze,1936,M,Water Polo,GER,1
Jaroslav Kika,1936,M,Art Competitions,TCH,1
Edgar Buchwalder,1936,M,Cycling,SUI,1
Georg Mischon,1936,M,Handball,SUI,1
Edward Dacre Howard-Vyse,1936,M,Equestrianism,GBR,1
"Anthony ""Tony"" Terlazzo",1936,M,Weightlifting,USA,1
Nicolaas Tates,1936,M,Canoeing,NED,1
Philippe Louis Eugne Cattiau,1936,M,Fencing,FRA,1
Georg Dascher,1936,M,Handball,GER,1
Guillermo Jos Lovell Birnes,1936,M,Boxing,ARG,1
Wadysaw Kara,1936,M,Shooting,POL,1
Hans Soelberg Struksns,1936,M,Sailing,NOR,1
Edmond Michiels,1936,M,Water Polo,BEL,1
"Georg ""Georges"" Miez",1936,M,Gymnastics,SUI,2
Guido Santin,1936,M,Rowing,ITA,1
Herbert Ferdinand Kastinger,1936,M,Art Competitions,AUT,1
Edgar Reinhardt,1936,M,Handball,GER,1
Gavino Matta,1936,M,Boxing,ITA,1
Ugo Locatelli,1936,M,Football,ITA,1
Hans-Georg Jrger,1936,M,Fencing,GER,1
Einar Folke Emanuel Sandstrm,1936,M,Equestrianism,SWE,1
Isolde Frlian,1936,F,Gymnastics,GER,1
Libero Turiddu Marchini,1936,M,Football,ITA,1
Harald Genzmer,1936,M,Art Competitions,GER,1
"Grard Blitz, Jr.",1936,M,Water Polo,BEL,1
Zdena Vemiovsk,1936,F,Gymnastics,TCH,1
Einari Allan Tersvirta,1936,M,Gymnastics,FIN,1
Hans Matthiesen Lunding,1936,M,Equestrianism,DEN,1
Eino Mauno Virtanen,1936,M,Wrestling,FIN,1
"Trebisonda ""Ondina"" Valla (-De Lucchi)",1936,F,Athletics,ITA,1
Eileen May Hiscock (-Wilson),1936,F,Athletics,GBR,1
Eino Tukiainen,1936,M,Gymnastics,FIN,1
Sven Gustaf Saln,1936,M,Sailing,SWE,1
Harald Huffmann,1936,M,Hockey,GER,1
Istvn Molnr,1936,M,Water Polo,HUN,1
"Herman Matinpoika ""Hermanni"" Pihlajamki",1936,M,Wrestling,FIN,1
Walter Bach,1936,M,Gymnastics,SUI,1
Gabriella Mszros,1936,F,Gymnastics,HUN,1
Peter Bischoff,1936,M,Sailing,GER,1
Lauritz Thura Thrap Schmidt,1936,M,Sailing,NOR,1
Karsten Magnus Konow,1936,M,Sailing,NOR,1
Gustaf Peder Wilhelm Dyrssen,1936,M,Fencing,SWE,1
"George Elwood ""Shorty"" Hunt, Jr.",1936,M,Rowing,USA,1
"Oskar Alfred Daniel ""Fred"" Warngrd",1936,M,Athletics,SWE,1
Gregor Hradetzky,1936,M,Canoeing,AUT,2
Gregor Nils Henric Adlercreutz,1936,M,Equestrianism,SWE,1
Edward Gardre,1936,M,Fencing,FRA,2
Annibale Frossi,1936,M,Football,ITA,1
Anni Steuer (-Ludewig),1936,F,Athletics,GER,1
"Edward John ""Ed"" Dawson",1936,M,Basketball,CAN,1
Gustaf Birger Hjalmarsson Cederin,1936,M,Fencing,SWE,1
Paula Mollenhauer,1936,F,Athletics,GER,1
Annette Joan Rogers (-Kelly),1936,F,Athletics,USA,1
Hans-Joachim Hannemann,1936,M,Rowing,GER,1
Paula Phlsen (-Scholz),1936,F,Gymnastics,GER,1
Hans-Joachim Schneider,1936,M,Water Polo,GER,1
Egon Edvin Roland Svensson,1936,M,Wrestling,SWE,1
"Edward Thomas ""Eddie"" O'Brien",1936,M,Athletics,USA,1
Noboru Terada,1936,M,Swimming,JPN,1
Ilmari R. Salminen,1936,M,Athletics,FIN,1
Henryk Leliwa-Roycewicz,1936,M,Equestrianism,POL,1
Hans Olof Clemens Granfelt,1936,M,Fencing,SWE,1
Hans-Otto Woellke,1936,M,Athletics,GER,1
Lauri Aleksanteri Lehtinen,1936,M,Athletics,FIN,1
Henry Tiller,1936,M,Boxing,NOR,1
Ilona Madary,1936,F,Gymnastics,HUN,1
Alice W. Bridges (-Roche),1936,F,Swimming,USA,1
Lauri Koskela,1936,M,Wrestling,FIN,1
Sujaku Suzuki,1936,M,Art Competitions,JPN,1
Ilona Elek-Schacherer (-Hepp),1936,F,Fencing,HUN,1
Luigi Mino Poggi,1936,M,Sailing,ITA,1
Alfried Felix Alwyn von Bohlen und Halbach (-Krupp von Bohlen und Halbach),1936,M,Sailing,GER,1
"Agathon ""Aat"" de Roos",1936,M,Hockey,NED,1
Helen Herring Stephens,1936,F,Athletics,USA,2
"Alfred Lord ""Al"" Fitch",1936,M,Athletics,USA,1
Frank Clifford Wykoff,1936,M,Athletics,USA,1
Vladimr Syrovtka (-Rus),1936,M,Canoeing,TCH,1
Alberto Ramos Sesma,1936,M,Polo,MEX,1
Kristjan Palusalu,1936,M,Wrestling,EST,2
Albert Casteleyns,1936,M,Water Polo,BEL,1
Nikolai Stepulov,1936,M,Boxing,EST,1
"James Burge ""Jim"" McMillin",1936,M,Rowing,USA,1
Voldemar Vli,1936,M,Wrestling,EST,1
"James Cleveland ""Jesse"" Owens",1936,M,Athletics,USA,4
Saverio Ragno,1936,M,Fencing,ITA,2
"Gertrud ""Trudi"" Meyer (-Baier)",1936,F,Gymnastics,GER,1
"Ian Alistair ""Al"" Allison",1936,M,Basketball,CAN,1
Eugen Seiterle,1936,M,Handball,SUI,1
Eugen Mack,1936,M,Gymnastics,SUI,5
Eugen Deutsch,1936,M,Weightlifting,GER,1
Helene Mayer (-Falkner von Sonnenburg),1936,F,Fencing,GER,1
"Wilhelm ""Willi"" Menne",1936,M,Rowing,GER,1
Wilhelm Baumann,1936,M,Handball,GER,1
Walter Reisp,1936,M,Handball,AUT,1
Ral Vicente Villarreal,1936,M,Boxing,ARG,1
Alfred Rieck,1936,M,Rowing,GER,1
Kustaa Kustaanpoika Pihlajamki,1936,M,Wrestling,FIN,1
Ral Fernndez Robert,1936,M,Basketball,MEX,1
"Heinrich Theodor ""Heinz"" Krvers",1936,M,Handball,GER,1
Lenore M. Kight-Wingard,1936,F,Swimming,USA,1
"James ""Jimmy"" Stewart",1936,M,Basketball,CAN,1
"Heinrich-Georg ""Heinz"" Hax",1936,M,Shooting,GER,1
"Wilhelm ""Willi"" Brinkmann",1936,M,Handball,GER,1
Stig Arvidsson Blomberg,1936,M,Art Competitions,SWE,1
Ewald Tilker,1936,M,Canoeing,GER,1
Lszl Rajcsnyi,1936,M,Fencing,HUN,1
Harvey Blashford Charters,1936,M,Canoeing,CAN,2
Heinz Adolf Raack,1936,M,Hockey,GER,1
Heinz Brandt,1936,M,Equestrianism,GER,1
Georges Maurice Marie Tapie,1936,M,Rowing,FRA,1
Aldo Montano,1936,M,Fencing,ITA,1
Ibolya Csk (-Kdr),1936,F,Athletics,HUN,1
Heinz Werner Alfred Kaufmann,1936,M,Rowing,GER,1
"Wilhelm ""Willi"" Kaidel",1936,M,Rowing,GER,1
Ibrahim Hassanien Shams,1936,M,Weightlifting,EGY,1
Frank John Lubin,1936,M,Basketball,USA,1
Horacio Podest,1936,M,Rowing,ARG,1
Eszter (Zsfia) Voit (-Vlgyi),1936,F,Gymnastics,HUN,1
Ernst Nievergelt,1936,M,Cycling,SUI,2
Ernst Krebs,1936,M,Canoeing,GER,1
Ernst Knz,1936,M,Football,AUT,1
Ernst Ihbe,1936,M,Cycling,GER,1
Ernst Hufschmid,1936,M,Handball,SUI,1
Sven Bertil Johansson,1936,M,Canoeing,SWE,1
"Pieter Adriaan ""Piet"" Gunning",1936,M,Hockey,NED,1
Anita Brwirth (-Hardekopf),1936,F,Gymnastics,GER,1
"Pieter ""Piet"" Wijdekop",1936,M,Canoeing,NED,1
Ernst Gaber,1936,M,Rowing,GER,1
Ernst Friedrich Winter,1936,M,Gymnastics,GER,1
Frank Warren Saker,1936,M,Canoeing,CAN,2
Albert Bachmann,1936,M,Gymnastics,SUI,2
Giancarlo Brusati,1936,M,Fencing,ITA,1
Ralph Drew Flanagan,1936,M,Swimming,USA,1
"Ernest W. ""Ernie"" Riedel",1936,M,Canoeing,USA,1
"Ernest Victor ""Ernie"" Mills",1936,M,Cycling,GBR,1
Giancarlo Cornaggia-Medici Peterbelli,1936,M,Fencing,ITA,2
Nordahl Eriksen Wallem,1936,M,Sailing,NOR,1
Hilda May Cameron (-Young),1936,F,Athletics,CAN,1
Ernst Willem van den Berg,1936,M,Hockey,NED,1
"James Douglas ""Doug"" Peden",1936,M,Basketball,CAN,1
Innozenz Stangl,1936,M,Gymnastics,GER,1
Wilhelm Ehmer,1936,M,Art Competitions,GER,1
"Wilhelm Friedrich ""Willi"" Stadel",1936,M,Gymnastics,GER,1
"Wilhelm Gustav ""Willi"" Kaiser",1936,M,Boxing,GER,1
