Name,Year,Sex,Sport,NOC,Medal
"Oscar Grgoire, Jr.",1900,M,Water Polo,BEL,1
Charlot,1900,M,Rowing,FRA,1
mile Sacr,1900,M,Sailing,FRA,1
James Cantion,1900,M,Rugby,GBR,1
"James Benner ""Jim"" Juvenal",1900,M,Rowing,USA,1
William Edgar Exshaw,1900,M,Sailing,GBR,2
Charlotte Reinagle Cooper (-Sterry),1900,F,Tennis,GBR,2
Raul Kelecom,1900,M,Football,BEL,1
"William Francis Patterson ""Bill"" Quash",1900,M,Football,GBR,1
Alfred John Schneidau,1900,M,Cricket,GBR,1
Charles William Martin,1900,M,Sailing,FRA,2
Jacques le Lavasseur,1900,M,Sailing,FRA,2
Alfred James Powlesland,1900,M,Cricket,GBR,1
Alfred James Bowerman,1900,M,Cricket,GBR,1
James Henry Jones,1900,M,Football,GBR,1
"Raymond Clarence ""Ray"" Ewry",1900,M,Athletics,USA,3
"William Dunbar ""Willie"" Attrill",1900,M,Cricket,FRA,1
Alfred Van Landeghem,1900,M,Rowing,BEL,1
Oscar Charles de Somville,1900,M,Rowing,BEL,1
Oscar De Cock,1900,M,Rowing,BEL,1
Jacques Doucet,1900,M,Sailing,FRA,2
James Brendan Bennet Connolly,1900,M,Athletics,USA,1
Alfred Grtter,1900,M,Shooting,SUI,1
Jacques Baudrier,1900,M,Sailing,FRA,3
Robert Linzeler,1900,M,Sailing,FRA,2
mile Torcheboeuf,1900,M,Athletics,FRA,1
mile Roger de Thomas de Barbarin,1900,M,Shooting,FRA,1
J. Dubois,1900,M,Sailing,FRA,2
A. Albert,1900,M,Rugby,FRA,1
J. Bertrand,1900,M,Swimming,FRA,1
Albert Delbecque,1900,M,Football,BEL,1
Hlne de Pourtals (Barbey-),1900,F,Sailing,SUI,2
"Ernesto Mario ""Enrico"" Brusoni",1900,M,Cycling,ITA,1
Ernst Heinrich Hoppenberg,1900,M,Swimming,GER,2
Ernst Lhrsen,1900,M,Swimming,GER,1
Ernst Ludwig Emanuel Schultz,1900,M,Athletics,DEN,1
Hermanus Gerardus Brockmann,1900,M,Rowing,NED,3
Ernst Robert Efraim Fast,1900,M,Athletics,SWE,1
Charles Gustav Wilhelm Winckler,1900,M,Tug-Of-War,DEN,1
Charles Guiraist,1900,M,Sailing,FRA,2
Arthur Ernest Burrington Birkett,1900,M,Cricket,GBR,1
Hermann Wilker,1900,M,Rowing,GER,1
Albert Alphonse Champoudry,1900,M,Athletics,FRA,1
Lars Jrgen Madsen,1900,M,Shooting,DEN,1
Alphonse Decuyper,1900,M,Water Polo,FRA,1
Hermann Kreuzer,1900,M,Rugby,GER,1
Hermann Joseph Barrelet,1900,M,Rowing,FRA,1
Henry North Haslam,1900,M,Football,GBR,1
Charles Edward Sands,1900,M,Golf,USA,1
Arthur John Lovett Darby,1900,M,Rugby,GBR,1
Herbert Arthur Loveitt,1900,M,Rugby,GBR,1
Eugne Mougin,1900,M,Archery,FRA,1
Eugne Henri Masson,1900,M,Fencing,FRA,1
Lajos Gnczy (Grn-),1900,M,Athletics,HUN,1
Herbert Saint John Nicol,1900,M,Rugby,GBR,1
Norman Gilbert Pritchard (-Trevor),1900,M,Athletics,IND,2
Eugne Coulon,1900,M,Water Polo,FRA,1
Eugen Stahl Schmidt,1900,M,Tug-Of-War,DEN,1
Wilhelm Emil Carstens,1900,M,Rowing,GER,1
Hermann Alexandre de Pourtals,1900,M,Sailing,SUI,2
Alphonse Renier,1900,M,Football,BEL,1
"Alvin Christian ""Al"" Kraenzlein",1900,M,Athletics,USA,4
J. Braid,1900,M,Cricket,GBR,1
Albert Duval,1900,M,Sailing,FRA,2
Hubert Jean Daniel Lefbvre,1900,M,Rugby,FRA,1
Emil Kellenberger,1900,M,Shooting,SUI,3
Algernon Maudslay,1900,M,Sailing,GBR,2
Italo Santelli,1900,M,Fencing,ITA,1
Konrad Stheli,1900,M,Shooting,SUI,4
Charles Paumier du Vergier,1900,M,Shooting,BEL,1
William Arnold Landvoigt,1900,M,Rugby,GER,1
Albert Philippe Taillandier,1900,M,Cycling,FRA,1
"Irving Knott ""Irv"" Baxter",1900,M,Athletics,USA,5
